# DGCA & Ministry of Civil Aviation Domestic Tariff Reference Dataset (2024-2025)
# Source: DGCA Tariff Monitoring Unit & Ministry of Civil Aviation Parliamentary Tariff Returns
# Published Period: 2024 Calendar Year Base Baseline
# Description: Official benchmark average economy fares and city-pair traffic shares across representative domestic corridors.
corridor,origin,destination,distance_km,reference_period,benchmark_fare_inr,t1_spot_fare_inr,t7_standard_fare_inr,t15_fortnight_fare_inr,t30_advance_fare_inr,t45_long_advance_fare_inr,traffic_share_pct,source_citation
DEL-BOM,DEL,BOM,1148,2024-Q1,4200.0,5670.0,4200.0,3864.0,3570.0,3360.0,12.5,DGCA TMU & MoCA Domestic Tariff Returns 2024
BOM-DEL,BOM,DEL,1148,2024-Q1,4100.0,5535.0,4100.0,3772.0,3485.0,3280.0,12.2,DGCA TMU & MoCA Domestic Tariff Returns 2024
DEL-BLR,DEL,BLR,1740,2024-Q1,5700.0,7695.0,5700.0,5244.0,4845.0,4560.0,9.8,DGCA TMU & MoCA Domestic Tariff Returns 2024
BLR-DEL,BLR,DEL,1740,2024-Q1,5800.0,7830.0,5800.0,5336.0,4930.0,4640.0,9.6,DGCA TMU & MoCA Domestic Tariff Returns 2024
DEL-CCU,DEL,CCU,1305,2024-Q1,4500.0,6075.0,4500.0,4140.0,3825.0,3600.0,6.4,DGCA TMU & MoCA Domestic Tariff Returns 2024
CCU-DEL,CCU,DEL,1305,2024-Q1,4400.0,5940.0,4400.0,4048.0,3740.0,3520.0,6.2,DGCA TMU & MoCA Domestic Tariff Returns 2024
DEL-HYD,DEL,HYD,1253,2024-Q1,4600.0,6210.0,4600.0,4232.0,3910.0,3680.0,5.8,DGCA TMU & MoCA Domestic Tariff Returns 2024
HYD-DEL,HYD,DEL,1253,2024-Q1,4500.0,6075.0,4500.0,4140.0,3825.0,3600.0,5.7,DGCA TMU & MoCA Domestic Tariff Returns 2024
DEL-MAA,DEL,MAA,1757,2024-Q1,4900.0,6615.0,4900.0,4508.0,4165.0,3920.0,4.9,DGCA TMU & MoCA Domestic Tariff Returns 2024
MAA-DEL,MAA,DEL,1757,2024-Q1,4800.0,6480.0,4800.0,4416.0,4080.0,3840.0,4.8,DGCA TMU & MoCA Domestic Tariff Returns 2024
DEL-PAT,DEL,PAT,850,2024-Q1,5200.0,7020.0,5200.0,4784.0,4420.0,4160.0,3.6,DGCA TMU & MoCA Domestic Tariff Returns 2024
BOM-GOI,BOM,GOI,435,2024-Q1,3800.0,5130.0,3800.0,3496.0,3230.0,3040.0,3.4,DGCA TMU & MoCA Domestic Tariff Returns 2024
BOM-BLR,BOM,BLR,842,2024-Q1,3900.0,5265.0,3900.0,3588.0,3315.0,3120.0,5.2,DGCA TMU & MoCA Domestic Tariff Returns 2024
BLR-BOM,BLR,BOM,842,2024-Q1,3800.0,5130.0,3800.0,3496.0,3230.0,3040.0,5.1,DGCA TMU & MoCA Domestic Tariff Returns 2024
BOM-HYD,BOM,HYD,620,2024-Q1,3600.0,4860.0,3600.0,3312.0,3060.0,2880.0,3.9,DGCA TMU & MoCA Domestic Tariff Returns 2024
HYD-BOM,HYD,BOM,620,2024-Q1,3500.0,4725.0,3500.0,3220.0,2975.0,2800.0,3.8,DGCA TMU & MoCA Domestic Tariff Returns 2024
BOM-MAA,BOM,MAA,1033,2024-Q1,4100.0,5535.0,4100.0,3772.0,3485.0,3280.0,3.5,DGCA TMU & MoCA Domestic Tariff Returns 2024
MAA-BOM,MAA,BOM,1033,2024-Q1,4000.0,5400.0,4000.0,3680.0,3400.0,3200.0,3.4,DGCA TMU & MoCA Domestic Tariff Returns 2024
BLR-HYD,BLR,HYD,502,2024-Q1,3100.0,4185.0,3100.0,2852.0,2635.0,2480.0,2.6,DGCA TMU & MoCA Domestic Tariff Returns 2024
HYD-BLR,HYD,BLR,502,2024-Q1,3000.0,4050.0,3000.0,2760.0,2550.0,2400.0,2.5,DGCA TMU & MoCA Domestic Tariff Returns 2024
BLR-MAA,BLR,MAA,268,2024-Q1,2800.0,3780.0,2800.0,2576.0,2380.0,2240.0,2.1,DGCA TMU & MoCA Domestic Tariff Returns 2024
MAA-BLR,MAA,BLR,268,2024-Q1,2700.0,3645.0,2700.0,2484.0,2295.0,2160.0,2.0,DGCA TMU & MoCA Domestic Tariff Returns 2024
